UNIVERSAL PRODUCT CODE,QUANTITY
845737012885,1
845737012878,1
845737012816,1
845737012793,1
845737012779,1
845737012762,1
845737012755,1
845737012748,1
845737012656,1
845737012373,1
845737012359,1
845737012144,1
845737011567,1
845737011437,1
845737011208,1
845737011178,1
845737011161,1
845737011154,1
845737010911,1
845737010881,1
845737010737,1
845737010539,1
845737010522,1
845737010508,1
845737010492,1
845737010232,1
845737010225,1
845737010119,1
845737010065,1
845737010027,1
845737010010,1
845737009687,1
845737009571,1
845737009403,1
845737009298,1
845737009243,1
845737009144,1
845737009137,1
845737009052,1
845737008079,1
845737008062,1
845737007744,1
845737007683,1
845737006846,1
845737006211,1
845737005153,1
845737005146,1
845737005139,1
845737005115,1
845737005061,1
845737003388,1
845737003326,1
845737000981,1
845737000912,1
845737000875,1
845737000868,1
845737000851,1
845737000110,1
845737000103,1
842834125029,1
842834124749,1
842834124671,1
842834123421,1
842834112241,1
842834112159,1
842834108343,1
842834103355,1
842834101436,1
842834100019,1
840906124680,1
840906124468,1
840906124192,1
840906124178,1
840906121702,1
840906121412,1
840906121399,1
840906121382,1
840906121283,1
840906119273,1
840906119198,1
840906118214,1
840906118122,1
840906118108,1
840906118085,1
840906115879,1
840906110836,1
840906108062,1
840906107140,1
840906105276,1
840906102824,1
840906100264,1
818773022293,1
818773022279,1
818773022200,1
818773022187,1
818773021968,1
818773021906,1
818773021531,1
818773021517,1
818773021302,1
818773021265,1
818773021234,1
818773021227,1
818773021210,1
818773021203,1
818773020749,1
818773020725,1
818773020701,1
818773020688,1
818773020626,1
818773020602,1
818773020589,1
818773020565,1
818773020008,1
818513009218,1
818513009201,1
818513001618,1
818004022771,1
818004022757,1
818004022535,1
818004022528,1
818004022511,1
818004021996,1
818004021958,1
818004021880,1
818004021804,1
818004021798,1
818004021781,1
818004021736,1
818004021682,1
818004021644,1
818004021422,1
818004021392,1
818004021330,1
818004021026,1
818004020838,1
818004020548,1
818004020388,1
818004020371,1
818004020364,1
818004020357,1
818004020340,1
818004020265,1
816903027798,1
816903027781,1
816903025466,1
816903025404,1
816903025350,1
816903025091,1
816903024186,1
816903024094,1
816903024063,1
816903022823,1
816903022472,1
816422025527,1
816422025510,1
815875015857,1
815875015840,1
815875015833,1
815875015826,1
815875015291,1
815875015130,1
815875015116,1
815875015093,1
815875015086,1
815875014683,1
815875014652,1
815875014522,1
815875014515,1
815875014355,1
815875014263,1
815875014256,1
815875014249,1
815875014249,1
815875014232,1
815875014225,1
815875012399,1
815875012382,1
815875011682,1
815875011439,1
815875011408,1
815875011217,1
815875011187,1
815875011019,1
815718022066,1
815648029692,1
815648029258,1
815648029074,1
815648029036,1
815648029012,1
815648028992,1
815648028763,1
815648028732,1
815648028619,1
815648028596,1
815648028459,1
815648028442,1
815648028343,1
815648028336,1
815648027490,1
815648027353,1
815648026219,1
815648025274,1
815648024451,1
815648023317,1
815648023119,1
815648021993,1
815648021986,1
815648021979,1
815648021962,1
815648021771,1
815648021764,1
815648021757,1
815648021658,1
815648021498,1
815648021481,1
815648021085,1
815648021030,1
815604019606,1
815604019538,1
815604019491,1
815604019408,1
815604019248,1
815604018968,1
815604018937,1
815604018845,1
815604018821,1
815604018562,1
815604018517,1
815604018487,1
815604018456,1
815604018371,1
815604016858,1
815604016742,1
815604016650,1
815604016612,1
815604016254,1
815604016179,1
815604015745,1
815604015738,1
815604015561,1
815604015554,1
815604015547,1
815604015479,1
815604015431,1
815604015325,1
815604015318,1
815604015134,1
815604014045,1
815421022322,1
815421022315,1
815421022254,1
815421021554,1
815421020977,1
815421020915,1
815421020908,1
815421020618,1
815421020434,1
815421020373,1
814034026437,1
814034026420,1
814034025478,1
814034025195,1
814034022156,1
814034022149,1
814034022026,1
814034022002,1
814034021982,1
814034021968,1
814034021951,1
814034021777,1
814034021746,1
814034021005,1
814034020992,1
813865025541,1
